5779,554,4010,187,255,138461,63133,96,294,288,135,223551,43265,56914,97,201078,200953,200411,109097,52013,89,177,168447,47,142,69992,43960,20010,276,265,224,167449,28,52651,56,234,338,288,332,58,64,249,342,18976,18949,94,64464,110379,354,334,369,62,68223,108498,209,448,57811,279,78742,18912,118,90,169677,165290,486,453,966,35827,216,184183,140,99,1398,825,210323,97,30278,157182,313819,284948,273,46134,433,205505,2510,4218,2589,2629,2706,476,99,1006,106369,1089
1089,203,290281,597,110,100517,53,75,273,168,165718,192,35,155,62,109490,39601,39327,12,43487,126045,180,158,168,153,28,51,271,19919,19818,205,46,111772,43947,53013,167741,19466,19404,19299,64748,43354,313,18941,293,350,336,27362,51651,350,338,107,395,225189,115,108394,417,119,57548,174060,156,125597,27159,121115,497,61230,211,998,52366,187,361,463,286,4524,733,1108,105,80191,451,84,114418,3963,283243,288227,34,391,1293,236132,997,236362,64195,94,504,414,236408
3977,628,628,251,1626,78673,157,31484,19449,165490,140,109439,214991,110045,201100,42,185,174,223730,24,81,168303,112625,126,167665,228570,53,25,282,262,168293,129723,93501,56,39,230,348,323,332,27545,47,300,278,73,312,319,55283,65,19105,19271,378,117,213,100,10,395,274,124,14,116,108,55334,78784,118992,22156,411,458,218,1711,1614,312,80,921,102,676,289490,51874,293898,379,313503,1275,312827,773,30685,57,213083,732,235635,943,147,132,2732,62,1017
652,5456,3767,1136,29210,226,80110,586,287,146,125022,202,52213,64387,39452,39491,34910,34752,167,217185,74,91,114,167581,127064,241,43,178,260,217,127,205048,69757,218136,44297,125665,234,88,222,55619,30,19070,285,286,162693,19188,13,43000,70,72,381,354,239,63563,50947,18923,77,67,57745,161727,198436,91451,384,77825,157,61780,31511,639,1505,28,61316,467,3016,298412,3137,681,104413,848,3035,2894,456,2930,728,52348,219,942,944,1318,710,1177,100603,92,2591,757
57343,3876,114,5796,158,137,2299,180093,203,124297,113,51973,70442,98,221,199,56518,56319,109192,297065,203219,126975,126964,126613,101,111283,32,181,215,167956,156,53,29,53608,38,172,165848,255,165536,92851,213714,261,238,294,299,359,92468,21,299,289,19175,19124,110713,27241,42779,404,463,81,482,130,98,67616,173801,170521,50449,379,196441,432,95053,845,342,132,233006,3247,495,93960,95,1958,156,2861,46168,3006,93110,105065,2135,495,1301,4201,4385,66,134,272,304107,4808
3490,56986,822,64536,312412,178096,95745,99,165311,101,202320,42899,23072,27571,35211,35149,177,161,169,52974,40210,90,85,139,47,223,218172,167794,168277,214,126414,71,228898,72325,220284,152,217,255,230,68739,52946,79,163134,162785,122796,96,67845,212263,46,332,84,378,51689,55415,59,365,94,130,62,122401,22,221988,210,56152,158,22188,554,274,48154,135,127,21843,1463,593,785,808,100,2050,298733,329,407,156422,22,82,113,2785,4325,212327,1311,1193,126366,2432,992,1449
233,1015,665,3819,289,58863,2002,37128,225,97,45,54,33910,55339,56739,56832,22,109631,51593,71413,35936,204161,61,139,112,52795,53407,127064,206,66,134,28,10,23485,53811,152,124435,165423,124183,14,70832,209,76,123320,235,285,26,44,109,164716,367,66,43144,41,72,315,383,374,90,39399,39393,38,57349,305,86474,50516,649,472,190,1535,24394,265,5170,118,2729,56,90,116,474,156798,284141,421,25,96,2541,276,213470,529,4025,385,66,1269,4105,2854
79456,219,496,58547,357,12,244,90,136,201550,39459,62,35846,92565,207,186,109857,121,42701,41,155,40254,204424,74,204887,13,72205,108,127,126258,204246,39918,247,41,72584,41,181,46,174,36,39,163855,252,228,74,294,37,52293,301,110354,37,435,47,91333,42,160950,404,402,114,170,34265,243,111,273,59251,156,35430,61296,38280,2356,52830,255,1794,271,1338,38,97529,18917,2990,482,312177,293709,496800,97,3594,116350,506,54,213065,16,88,133,1046,541
89684,3486,5879,145,78844,67,3720,67,124136,39141,197,81,10,67900,108,105,115,114,52,42,57788,35562,24,203570,40302,92,60,114,120,137,39788,218,111680,34978,31,10,160,124137,148,12,21,228,123247,193,221,163130,225174,70962,163628,350,187,390,55,67426,211796,96,18909,18581,442,34595,187,295,287,159,187,170,51955,475,182,712,357,30,208958,173,299443,111396,88,63652,156671,483,457,884,110090,99401,1158,2351,999,1006,972,113173,55753,2750,237471,212496
3177,78938,4065,3310,171,255,1949,106,166,34796,34925,216184,197849,38,87,92,96,92,72,116021,159,112201,42,40160,35895,43693,23538,203964,126541,123,35768,143,220,36875,24,203357,110516,199,201207,225952,60,123770,203,109425,38682,56,334,61,312,123528,316,347,48,49,51951,271,120,410,18642,56230,56106,109031,126,787,326,275,254,22282,125,52941,88881,138,298619,2896,3209,497890,124998,170,293134,293208,2947,433,26,104,399,3774,450,568,71,294001,83746,3905,2798,731
